место_по_глубине_падения,регион,январь_всего_млн,январь_ДДУ_млн,январь_доля_проц,февраль_всего_млн,февраль_ДДУ_млн,февраль_доля_проц,изменение_п_п
1,Чеченская Республика,305,150,49.2,344,66,19.2,-30.0
2,Кабардино-Балкарская Республика,1096,782,71.4,435,180,41.4,-30.0
3,Брянская область,2424,1525,62.9,1748,602,34.4,-28.5
4,Магаданская область,407,216,53.1,577,149,25.8,-27.2
5,Новгородская область,1022,654,64.0,852,320,37.6,-26.4
6,Республика Коми,1649,1006,61.0,1295,448,34.6,-26.4
7,Мурманская область,1768,1111,62.8,1563,592,37.9,-25.0
8,Владимирская область,2117,1182,55.8,1734,542,31.3,-24.6
9,г. Санкт-Петербург,25937,16659,64.2,14417,5754,39.9,-24.3
10,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу,7338,4473,61.0,3470,1272,36.7,-24.3
11,Ивановская область,1592,823,51.7,1113,307,27.6,-24.1
12,Смоленская область,1471,817,55.5,1093,352,32.2,-23.3
13,Саратовская область,3876,1864,48.1,2826,704,24.9,-23.2
14,Астраханская область,3371,2013,59.7,2208,816,37.0,-22.8
15,Самарская область,6115,3031,49.6,4350,1172,26.9,-22.6
16,Вологодская область,2186,1224,56.0,1659,557,33.6,-22.4
17,Кировская область,2866,1698,59.2,2064,765,37.1,-22.2
18,Пензенская область,2941,1766,60.0,1692,648,38.3,-21.7
19,Республика Северная Осетия - Алания,1162,910,78.3,740,420,56.8,-21.6
20,г. Москва,56251,37389,66.5,34474,15511,45.0,-21.5
21,Московская область,31940,19778,61.9,20445,8289,40.5,-21.4
22,Красноярский край,7316,4271,58.4,5476,2029,37.1,-21.3
23,Курганская область,1908,1131,59.3,1248,478,38.3,-21.0
24,Пермский край,8155,5479,67.2,5222,2425,46.4,-20.7
25,Республика Карелия,1117,638,57.1,1003,367,36.6,-20.5
26,Тюменская область,18139,10508,57.9,10328,3878,37.5,-20.4
27,Оренбургская область,4909,2630,53.6,4107,1365,33.2,-20.3
