year;month;rate_izhk_all_pct;rate_izhk_ddu_pct
2021;1;7.31;5.66
2021;2;7.29;5.54
2021;3;7.23;5.69
2021;4;7.35;5.49
2021;5;7.23;5.10
2021;6;7.02;4.88
2021;7;7.46;5.36
2021;8;7.77;5.90
2021;9;7.55;5.39
2021;10;7.43;5.17
2021;11;7.33;5.06
2021;12;7.65;5.44
2022;1;7.93;5.61
2022;2;7.99;5.31
2022;3;7.85;5.20
2022;4;7.30;4.90
2022;5;6.21;3.92
2022;6;6.68;3.78
2022;7;7.20;3.97
2022;8;7.15;3.87
2022;9;6.93;3.18
2022;10;7.40;3.35
2022;11;7.16;3.36
2022;12;6.82;3.64
2023;1;7.99;4.94
2023;2;8.06;5.17
2023;3;7.91;5.26
2023;4;8.45;6.05
2023;5;8.28;6.11
2023;6;8.15;5.93
2023;7;8.02;5.98
2023;8;7.88;5.69
2023;9;7.66;5.61
2023;10;7.93;5.91
2023;11;8.16;6.08
2023;12;7.75;6.11
2024;1;7.91;6.05
2024;2;8.97;6.42
2024;3;8.18;6.32
2024;4;8.21;6.24
2024;5;7.76;6.00
2024;6;7.38;6.05
2024;7;10.26;5.73
2024;8;9.58;6.34
2024;9;9.05;6.63
2024;10;9.96;6.37
2024;11;9.38;6.30
2024;12;8.70;6.39
2025;1;8.53;6.21
2025;2;8.07;6.02
2025;3;7.51;6.18
2025;4;7.63;6.26
2025;5;7.50;6.18
2025;6;7.65;6.32
2025;7;7.60;6.25
2025;8;7.79;6.38
2025;9;8.36;6.69
2025;10;8.46;6.79
2025;11;8.27;6.63
2025;12;7.96;6.49
2026;1;7.99;6.77
2026;2;10.45;7.55
2026;3;10.82;8.04
2026;4;10.33;7.68
2026;5;10.26;7.36
2026;6;9.10;7.36
2026;7;10.85;7.85
