месяц,РФ_всего_млн_руб,РФ_ДДУ_млн_руб,РФ_доля_ДДУ_проц,РТ_всего_млн_руб,РТ_ДДУ_млн_руб,РТ_доля_ДДУ_проц
Январь 2019,173119,57334,33.1,5483,1469,26.8
Февраль 2019,230600,74259,32.2,7006,1972,28.1
Март 2019,227491,72955,32.1,6730,1881,27.9
Апрель 2019,242515,76036,31.4,7215,2046,28.4
Май 2019,192107,65352,34.0,5790,1828,31.6
Июнь 2019,217713,72996,33.5,6246,1940,31.1
Июль 2019,226828,66039,29.1,6967,1760,25.3
Август 2019,241650,75796,31.4,7101,1826,25.7
Сентябрь 2019,246859,80880,32.8,7556,2187,28.9
Октябрь 2019,281688,87868,31.2,8949,2503,28.0
Ноябрь 2019,284033,88952,31.3,8400,2224,26.5
Декабрь 2019,369629,105001,28.4,11918,2767,23.2
Январь 2020,200428,67566,33.7,5791,1365,23.6
Февраль 2020,282875,89888,31.8,8875,2309,26.0
Март 2020,329468,100784,30.6,10421,2642,25.4
Апрель 2020,217771,54994,25.3,7635,1832,24.0
Май 2020,214980,79975,37.2,7243,2347,32.4
Июнь 2020,300654,112686,37.5,9032,3141,34.8
Июль 2020,383429,145134,37.9,11522,3947,34.3
Август 2020,413234,158615,38.4,12867,4657,36.2
Сентябрь 2020,503565,177791,35.3,15172,4714,31.1
Октябрь 2020,546199,187836,34.4,17282,5396,31.2
Ноябрь 2020,491441,155294,31.6,15292,3744,24.5
Декабрь 2020,560284,168010,30.0,19532,4968,25.4
Январь 2021,259707,91382,35.2,8121,2160,26.6
Февраль 2021,403303,135131,33.5,11310,2849,25.2
Март 2021,501004,159602,31.9,15492,3909,25.2
Апрель 2021,550907,177946,32.3,16259,4262,26.2
Май 2021,433830,144413,33.3,12861,3777,29.4
Июнь 2021,544951,214640,39.4,15822,5222,33.0
Июль 2021,433085,109218,25.2,12990,3000,23.1
Август 2021,439015,127118,29.0,13192,3103,23.5
Сентябрь 2021,476775,151108,31.7,15114,4061,26.9
Октябрь 2021,500588,160983,32.2,16708,4735,28.3
Ноябрь 2021,510573,181310,35.5,16608,5532,33.3
Декабрь 2021,641337,227947,35.5,21853,7541,34.5
Январь 2022,326952,133068,40.7,11002,4094,37.2
Февраль 2022,476900,187978,39.4,16420,5940,36.2
Март 2022,521283,229430,44.0,18504,8514,46.0
Апрель 2022,161604,89713,55.5,5074,2706,53.3
Май 2022,139688,86860,62.2,4028,2396,59.5
Июнь 2022,253458,133524,52.7,7404,3471,46.9
Июль 2022,341657,158292,46.3,9996,3872,38.7
Август 2022,457702,193294,42.2,13253,4428,33.4
Сентябрь 2022,518113,213433,41.2,17117,5709,33.4
Октябрь 2022,448354,144025,32.1,15410,4432,28.8
Ноябрь 2022,470681,181883,38.6,15289,5210,34.1
Декабрь 2022,696876,311822,44.7,22909,8754,38.2
Январь 2023,281648,104650,37.2,8660,2588,29.9
Февраль 2023,422392,164986,39.1,13509,4673,34.6
Март 2023,569416,219800,38.6,19475,7037,36.1
Апрель 2023,566257,200407,35.4,17970,5394,30.0
Май 2023,580470,209975,36.2,21071,6500,30.8
Июнь 2023,626742,221848,35.4,21378,6727,31.5
Июль 2023,646509,248879,38.5,23805,8344,35.1
Август 2023,849118,369636,43.5,29992,11590,38.6
Сентябрь 2023,955207,464767,48.7,37205,16430,44.2
Октябрь 2023,769637,360897,46.9,30565,12708,41.6
Ноябрь 2023,726080,374418,51.6,27993,12289,43.9
Декабрь 2023,785482,435484,55.4,28776,13164,45.7
Январь 2024,271788,128446,47.3,10440,4176,40.0
Февраль 2024,332817,139345,41.9,11164,3587,32.1
Март 2024,447282,223253,49.9,16542,7026,42.5
Апрель 2024,465816,223463,48.0,16594,6466,39.0
Май 2024,545712,294109,53.9,20727,10468,50.5
Июнь 2024,788497,474652,60.2,30579,16187,52.9
Июль 2024,355976,117125,32.9,13100,3284,25.1
Август 2024,375068,161077,42.9,12918,4473,34.6
Сентябрь 2024,372813,179703,48.2,14614,6344,43.4
Октябрь 2024,367067,185279,50.5,13200,5964,45.2
Ноябрь 2024,274353,160708,58.6,8825,4185,47.4
Декабрь 2024,291146,187209,64.3,10444,6172,59.1
Январь 2025,126932,86449,68.1,3717,2148,57.8
Февраль 2025,227090,150257,66.2,7071,4314,61.0
Март 2025,257069,166178,64.6,8468,5179,61.2
Апрель 2025,290271,166844,57.5,9350,5213,55.8
Май 2025,287331,167354,58.2,10585,6359,60.1
Июнь 2025,308949,175590,56.8,10558,5553,52.6
Июль 2025,355872,197383,55.5,12709,7250,57.0
Август 2025,392274,222906,56.8,13424,7431,55.4
Сентябрь 2025,404401,234655,58.0,13844,7327,52.9
Октябрь 2025,489610,277873,56.8,19361,10451,54.0
Ноябрь 2025,501455,308842,61.6,18095,10504,58.0
Декабрь 2025,811214,487672,60.1,29944,17003,56.8
Январь 2026,424903,261270,61.5,16231,10058,62.0
Февраль 2026,290222,127389,43.9,9638,4018,41.7
Март 2026,330495,144575,43.7,10422,4064,39.0
Апрель 2026,358970,148809,41.5,12284,4483,36.5
Май 2026,328235,134989,41.1,10284,3597,35.0
Июнь 2026,482695,229298,47.5,17138,7871,45.9
Июль 2026,363411,141588,39.0,12456,4561,36.6
