year;month;izhk_total_mln_rub;izhk_ddu_mln_rub;ddu_share_pct
2019;1;5483;1469;26.79
2019;2;7006;1972;28.15
2019;3;6730;1881;27.95
2019;4;7215;2046;28.36
2019;5;5790;1828;31.57
2019;6;6246;1940;31.06
2019;7;6967;1760;25.26
2019;8;7101;1826;25.71
2019;9;7556;2187;28.94
2019;10;8949;2503;27.97
2019;11;8400;2224;26.48
2019;12;11918;2767;23.22
2020;1;5791;1365;23.57
2020;2;8875;2309;26.02
2020;3;10421;2642;25.35
2020;4;7635;1832;23.99
2020;5;7243;2347;32.4
2020;6;9032;3141;34.78
2020;7;11522;3947;34.26
2020;8;12867;4657;36.19
2020;9;15172;4714;31.07
2020;10;17282;5396;31.22
2020;11;15292;3744;24.48
2020;12;19532;4968;25.44
2021;1;8121;2160;26.6
2021;2;11310;2849;25.19
2021;3;15492;3909;25.23
2021;4;16259;4262;26.21
2021;5;12861;3777;29.37
2021;6;15822;5222;33.0
2021;7;12990;3000;23.09
2021;8;13192;3103;23.52
2021;9;15114;4061;26.87
2021;10;16708;4735;28.34
2021;11;16608;5532;33.31
2021;12;21853;7541;34.51
2022;1;11002;4094;37.21
2022;2;16420;5940;36.18
2022;3;18504;8514;46.01
2022;4;5074;2706;53.33
2022;5;4028;2396;59.48
2022;6;7404;3471;46.88
2022;7;9996;3872;38.74
2022;8;13253;4428;33.41
2022;9;17117;5709;33.35
2022;10;15410;4432;28.76
2022;11;15289;5210;34.08
2022;12;22909;8754;38.21
2023;1;8660;2588;29.88
2023;2;13509;4673;34.59
2023;3;19475;7037;36.13
2023;4;17970;5394;30.02
2023;5;21071;6500;30.85
2023;6;21378;6727;31.47
2023;7;23805;8344;35.05
2023;8;29992;11590;38.64
2023;9;37205;16430;44.16
2023;10;30565;12708;41.58
2023;11;27993;12289;43.9
2023;12;28776;13164;45.75
2024;1;10440;4176;40.0
2024;2;11164;3587;32.13
2024;3;16542;7026;42.47
2024;4;16594;6466;38.97
2024;5;20727;10468;50.5
2024;6;30579;16187;52.94
2024;7;13100;3284;25.07
2024;8;12918;4473;34.63
2024;9;14614;6344;43.41
2024;10;13200;5964;45.18
2024;11;8825;4185;47.42
2024;12;10444;6172;59.1
2025;1;3717;2148;57.79
2025;2;7071;4314;61.01
2025;3;8468;5179;61.16
2025;4;9350;5213;55.75
2025;5;10585;6359;60.08
2025;6;10558;5553;52.6
2025;7;12709;7250;57.05
2025;8;13424;7431;55.36
2025;9;13844;7327;52.93
2025;10;19361;10451;53.98
2025;11;18095;10504;58.05
2025;12;29944;17003;56.78
2026;1;16231;10058;61.97
2026;2;9638;4018;41.69
2026;3;10422;4064;38.99
2026;4;12284;4483;36.49
2026;5;10284;3597;34.98
2026;6;17138;7871;45.93
2026;7;12456;4561;36.62
