year;centre;perv_q1;perv_q2;vtor_q1;vtor_q2;perv_mean;vtor_mean;gap_pct;src_perv;src_vtor
2021;Алтайский край;57767.78;59691.58;58067.56;59759.8;58729.68;58913.68;-0.3123;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Амурская область;92052.68;100877.67;97002.4;102287.91;96465.17;99645.15;-3.1913;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Архангельская область (кроме Ненецкого автономного округа);85445.24;87448.6;70414.37;71641.02;86446.92;71027.7;21.7088;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Астраханская область;66947.95;68493.51;46738.17;48452.95;67720.73;47595.56;42.2837;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Белгородская область;68938.83;72448.98;67876.57;71193.15;70693.9;69534.86;1.6669;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Брянская область;45113.87;46626.23;38081.99;38399.99;45870.05;38240.99;19.95;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Владимирская область;46161.53;48997.73;53290.81;61027.32;47579.63;57159.07;-16.7593;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Волгоградская область;52897.71;53818.91;48455.83;50075.41;53358.31;49265.62;8.3074;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Вологодская область;52422.42;53658.16;45741.99;46747.48;53040.29;46244.74;14.6948;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Воронежская область;62860.55;64827.19;53988.88;52849.96;63843.87;53419.42;19.5143;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Забайкальский край;80108.27;80369.55;74632.9;75098.7;80238.91;74865.8;7.177;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Ивановская область;45216.21;48615.67;44044.0;45180.51;46915.94;44612.26;5.1638;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Иркутская область;78295.79;97626.04;85171.39;89258.05;87960.91;87214.72;0.8556;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Кабардино-Балкарская Республика;34551.56;34070.52;52989.22;58678.24;34311.04;55833.73;-38.5478;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Калининградская область;65800.32;70308.53;66640.34;75171.85;68054.43;70906.1;-4.0218;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Калужская область;53915.16;54182.98;55454.93;57209.45;54049.07;56332.19;-4.053;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Камчатский край;71621.9;60851.7;78850.0;79153.81;66236.8;79001.9;-16.158;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Карачаево-Черкесская Республика;41903.1;42828.41;48314.84;49582.27;42365.76;48948.55;-13.4484;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Кемеровская область - Кузбасс;56572.02;58030.18;50573.34;55888.08;57301.1;53230.71;7.6467;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Кировская область;52908.59;55544.2;47834.89;49482.9;54226.39;48658.9;11.4419;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Костромская область;55783.82;56044.93;49710.46;51046.63;55914.38;50378.54;10.9885;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Краснодарский край;62185.43;74093.19;58734.75;65165.75;68139.31;61950.25;9.9904;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Красноярский край;69982.3;72852.46;69068.33;72571.81;71417.38;70820.07;0.8434;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Курганская область;44537.48;44352.36;41576.26;41627.78;44444.92;41602.02;6.8336;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Курская область;56618.03;58591.74;53184.52;55712.34;57604.88;54448.43;5.7971;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Липецкая область;51243.09;54159.5;56687.43;56811.1;52701.29;56749.26;-7.1331;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Магаданская область;95683.83;95683.83;57691.8;63629.53;95683.83;60660.67;57.7362;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Нижегородская область;84423.27;87663.49;80165.06;84231.82;86043.38;82198.44;4.6776;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Новгородская область;50962.86;51798.25;44149.08;44999.99;51380.56;44574.54;15.2689;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Новосибирская область;70482.48;72081.48;65941.79;66724.25;71281.98;66333.02;7.4608;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Омская область;56191.19;58190.24;53098.08;55691.26;57190.71;54394.67;5.1403;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Оренбургская область;42215.05;42215.05;43622.28;43769.06;42215.05;43695.67;-3.3885;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Орловская область;51601.05;59358.96;50587.26;56261.94;55480.01;53424.6;3.8473;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Пензенская область;61768.27;63819.87;45659.28;46419.44;62794.07;46039.36;36.3921;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Пермский край;67815.87;70556.84;67116.86;67750.48;69186.35;67433.67;2.5991;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Приморский край;118991.09;122272.94;123315.84;125432.21;120632.01;124374.02;-3.0087;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Псковская область;45827.35;46188.76;45747.97;45935.85;46008.06;45841.91;0.3624;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Адыгея (Адыгея);39707.84;40496.12;53949.93;54242.94;40101.98;54096.43;-25.8695;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Башкортостан;77858.93;80030.84;74111.29;75819.15;78944.88;74965.22;5.3087;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Бурятия;62764.01;68806.66;67126.93;70970.24;65785.34;69048.58;-4.726;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Дагестан;32178.75;33232.36;50997.86;53949.78;32705.56;52473.82;-37.6726;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Ингушетия;40197.48;42328.42;33589.68;36934.93;41262.95;35262.31;17.0172;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Калмыкия;38663.25;41438.47;43686.38;43939.25;40050.86;43812.82;-8.5864;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Карелия;57565.46;57559.15;58008.65;60381.33;57562.31;59194.99;-2.7581;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Коми;56793.6;60112.0;56515.85;56527.53;58452.8;56521.69;3.4166;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Крым;74252.5;81016.08;70649.23;73396.68;77634.29;72022.95;7.791;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Марий Эл;47301.44;49881.2;42246.7;43585.41;48591.32;42916.06;13.2241;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Мордовия;45498.8;46206.03;44469.64;45748.35;45852.42;45108.99;1.6481;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Саха (Якутия);101099.2;103200.66;81557.83;81618.7;102149.93;81588.26;25.2017;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Татарстан (Татарстан);99632.03;107239.98;93336.17;97645.88;103436.01;95491.02;8.3201;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Республика Хакасия;56719.7;58134.3;52489.81;52310.89;57427.0;52400.35;9.5928;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Ростовская область;60485.62;63763.85;62163.97;63908.19;62124.74;63036.08;-1.4458;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Рязанская область;57877.66;61461.82;52619.04;53079.31;59669.74;52849.18;12.9057;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Самарская область;60702.06;61008.44;61317.72;62346.37;60855.25;61832.04;-1.5798;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Саратовская область;46538.32;48560.03;48132.91;48731.96;47549.18;48432.43;-1.8237;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Сахалинская область;122628.78;123872.11;137387.33;133768.3;123250.45;135577.82;-9.0925;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Свердловская область;82683.17;85749.06;73293.0;77443.7;84216.11;75368.35;11.7394;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Смоленская область;52635.38;54583.08;45362.38;39223.4;53609.23;42292.89;26.7571;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Ставропольский край;47262.56;47274.4;54049.61;52542.82;47268.48;53296.21;-11.3099;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Тамбовская область;44806.26;46118.03;44759.63;44468.18;45462.15;44613.9;1.9013;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Тверская область;54407.19;56589.1;60220.4;64106.77;55498.15;62163.58;-10.7224;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Томская область;71714.95;77442.94;67540.51;72732.44;74578.95;70136.48;6.334;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Тульская область;70473.09;72082.51;76799.61;78677.33;71277.8;77738.47;-8.3108;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);70332.2;73912.64;64592.73;65652.69;72122.42;65122.71;10.7485;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Удмуртская Республика;62060.77;63588.56;55266.67;56907.24;62824.66;56086.96;12.013;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Ульяновская область;54443.36;56915.46;48713.5;49612.8;55679.41;49163.15;13.2544;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Хабаровский край;100707.57;105703.06;88457.07;89062.78;103205.32;88759.93;16.2747;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Ханты-Мансийский автономный округ - Югра (Тюменская область);81569.49;81754.85;92644.38;92645.72;81662.17;92645.05;-11.8548;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Челябинская область;51066.91;52713.97;39085.13;40163.08;51890.44;39624.1;30.9567;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Чеченская Республика;50021.55;51529.12;51836.54;53655.61;50775.34;52746.07;-3.7363;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Чувашская Республика - Чувашия;55610.63;59009.49;47722.63;50293.12;57310.06;49007.88;16.9405;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2021;Ярославская область;56867.88;57832.32;69991.82;71535.43;57350.1;70763.62;-18.9554;sred_cen_perv_4kv-2021.xlsx;sred_cen_vtor_4kv-2021.xlsx
2022;Алтайский край;79626.0;85726.0;79608.0;83047.0;82676.0;81327.5;1.6581;sred_cen_perv_4kv-2022.xlsx;sred_cen_vtor_4kv-2022.xlsx
2022;Амурская область;115972.0;127146.0;115621.0;117356.0;121559.0;116488.5;4.3528;sred_cen_perv_4kv-2022.xlsx;sred_cen_vtor_4kv-2022.xlsx
2022;Архангельская область (кроме Ненецкого автономного округа);109637.0;113120.0;85657.0;86682.0;111378.5;86169.5;29.2551;sred_cen_perv_4kv-2022.xlsx;sred_cen_vtor_4kv-2022.xlsx
2022;Астраханская область;91587.0;98768.0;57577.0;62168.0;95177.5;59872.5;58.967;sred_cen_perv_4kv-2022.xlsx;sred_cen_vtor_4kv-2022.xlsx
2022;Белгородская область;99135.0;99960.0;90721.0;90210.0;99547.5;90465.5;10.0392;sred_cen_perv_4kv-2022.xlsx;sred_cen_vtor_4kv-2022.xlsx
