year;quarter;perv;vtor;gap_pct
2021;1;99632.03;93336.17;6.75
2021;2;107239.98;97645.88;9.83
2021;3;113895.45;98658.8;15.44
2021;4;123026.67;103557.16;18.8
2022;1;133103;119155;11.71
2022;2;140053;124472;12.52
2022;3;152677;127462;19.78
2022;4;156498;134492;16.36
2023;1;162089.51;137718.88;17.7
2023;2;166845.36;133013.93;25.43
2023;3;174278.3;131400.25;32.63
2023;4;175924.38;133181.84;32.09
2024;1;197129.34;137445.11;43.42
2024;2;203254.2;136444.69;48.96
2024;3;209911.54;136681.75;53.58
2024;4;213831.42;154096.21;38.76
2025;1;233573.02;154590.94;51.09
2025;2;234900.58;155772.14;50.8
2025;3;239787.09;156768.06;52.96
2025;4;250657.94;157267.93;59.38
2026;1;244950.38;184927.88;32.46
2026;2;239550.91;187769.97;27.58
