region;year;perv;vtor;gap
Белгородская область;2021;69082;55460;0.2456
Белгородская область;2022;92629;83311;0.1118
Белгородская область;2023;90482;74722;0.2109
Белгородская область;2024;103015;76167;0.3525
Белгородская область;2025;110370;86595;0.2746
Белгородская область;2026;127708;103708;0.2314
Брянская область;2021;47058;38140;0.2338
Брянская область;2022;71841;56332;0.2753
Брянская область;2023;78958;66190;0.1929
Брянская область;2024;87080;69630;0.2506
Брянская область;2025;100003;89947;0.1118
Брянская область;2026;114136;86729;0.3160
Владимирская область;2021;46690;51716;-0.0972
Владимирская область;2022;68701;71121;-0.0340
Владимирская область;2023;78330;85274;-0.0814
Владимирская область;2024;92583;86807;0.0665
Владимирская область;2025;112632;95280;0.1821
Владимирская область;2026;117343;104252;0.1256
Воронежская область;2021;60933;53419;0.1407
Воронежская область;2022;77312;70908;0.0903
Воронежская область;2023;87057;74776;0.1642
Воронежская область;2024;106392;84052;0.2658
Воронежская область;2025;115022;101919;0.1286
Воронежская область;2026;125356;111438;0.1249
Ивановская область;2021;46916;43148;0.0873
Ивановская область;2022;63567;61213;0.0385
Ивановская область;2023;69981;68956;0.0149
Ивановская область;2024;85881;84747;0.0134
Ивановская область;2025;95065;88968;0.0685
Ивановская область;2026;103476;92783;0.1152
Калужская область;2021;59577;55300;0.0773
Калужская область;2022;88704;74415;0.1920
Калужская область;2023;97555;85285;0.1439
Калужская область;2024;109776;91412;0.2009
Калужская область;2025;104874;97222;0.0787
Калужская область;2026;124035;97090;0.2775
Костромская область;2021;55914;46209;0.2100
Костромская область;2022;69792;59256;0.1778
Костромская область;2023;77606;60686;0.2788
Костромская область;2024;91856;71310;0.2881
Костромская область;2025;95539;83168;0.1487
Костромская область;2026;105008;88677;0.1842
Курская область;2021;56672;54448;0.0408
Курская область;2022;71922;68811;0.0452
Курская область;2023;76152;70401;0.0817
Курская область;2024;89309;79273;0.1266
Курская область;2025;110760;103698;0.0681
Курская область;2026;138055;126148;0.0944
Липецкая область;2021;52360;56749;-0.0773
Липецкая область;2022;75303;71671;0.0507
Липецкая область;2023;79219;84958;-0.0676
Липецкая область;2024;88385;86336;0.0237
Липецкая область;2025;94297;93834;0.0049
Липецкая область;2026;106832;95231;0.1218
Московская область;2021;119867;87628;0.3679
Московская область;2022;152372;103541;0.4716
Московская область;2023;160886;115598;0.3918
Московская область;2024;194288;114835;0.6919
Московская область;2025;194806;170659;0.1415
Московская область;2026;232637;193928;0.1996
Орловская область;2021;55924;46495;0.2028
Орловская область;2022;70383;64547;0.0904
Орловская область;2023;78854;59199;0.3320
Орловская область;2024;89575;69412;0.2905
Орловская область;2025;94978;77536;0.2250
Орловская область;2026;100617;83151;0.2101
Рязанская область;2021;58819;52502;0.1203
Рязанская область;2022;80476;68189;0.1802
Рязанская область;2023;92237;75565;0.2206
Рязанская область;2024;105205;81946;0.2838
Рязанская область;2025;115107;89004;0.2933
Рязанская область;2026;129038;96186;0.3415
Смоленская область;2021;50481;36504;0.3829
Смоленская область;2022;58390;48603;0.2014
Смоленская область;2023;67208;59304;0.1333
Смоленская область;2024;85648;71034;0.2057
Смоленская область;2025;97200;78677;0.2354
Смоленская область;2026;109497;91548;0.1961
Тамбовская область;2021;45462;44344;0.0252
Тамбовская область;2022;65814;74453;-0.1160
Тамбовская область;2023;73286;72337;0.0131
Тамбовская область;2024;78241;75784;0.0324
Тамбовская область;2025;88230;74856;0.1787
Тамбовская область;2026;97861;82014;0.1932
Тверская область;2021;55498;58588;-0.0527
Тверская область;2022;79101;83279;-0.0502
Тверская область;2023;87904;85678;0.0260
Тверская область;2024;96654;80749;0.1970
Тверская область;2025;105090;84667;0.2412
Тверская область;2026;120330;97421;0.2352
Тульская область;2021;67222;73293;-0.0828
Тульская область;2022;78630;81380;-0.0338
Тульская область;2023;89137;90639;-0.0166
Тульская область;2024;106220;100325;0.0588
Тульская область;2025;109312;109904;-0.0054
Тульская область;2026;133359;106644;0.2505
Ярославская область;2021;56137;70530;-0.2041
Ярославская область;2022;78145;64280;0.2157
Ярославская область;2023;88158;76649;0.1502
Ярославская область;2024;104616;82538;0.2675
Ярославская область;2025;102785;88649;0.1595
Ярославская область;2026;124291;98800;0.2580
Город Москва;2021;264608;221039;0.1971
Город Москва;2022;349297;285255;0.2245
Город Москва;2023;297812;306831;-0.0294
Город Москва;2024;341254;324456;0.0518
Город Москва;2025;402046;367523;0.0939
Город Москва;2026;477045;386182;0.2353
Республика Карелия;2021;57562;58170;-0.0105
Республика Карелия;2022;94008;75826;0.2398
Республика Карелия;2023;115983;81657;0.4204
Республика Карелия;2024;133226;91806;0.4512
Республика Карелия;2025;146132;94328;0.5492
Республика Карелия;2026;144561;109669;0.3182
Республика Коми;2021;58635;53581;0.0943
Республика Коми;2022;80374;67737;0.1866
Республика Коми;2023;85067;81978;0.0377
Республика Коми;2024;109581;92164;0.1890
Республика Коми;2025;118393;94620;0.2512
Республика Коми;2026;119738;96046;0.2467
Архангельская область;2021;82598;73234;0.1279
Архангельская область;2022;90011;86143;0.0449
Архангельская область;2023;101959;90552;0.1260
Архангельская область;2024;122206;100242;0.2191
Архангельская область;2025;122351;112318;0.0893
Архангельская область;2026;142838;116170;0.2296
Ненецкий автономный округ;2022;77354;77461;-0.0014
Ненецкий автономный округ;2023;78442;91406;-0.1418
Ненецкий автономный округ;2024;114898;116738;-0.0158
Ненецкий автономный округ;2026;134442;116434;0.1547
Вологодская область;2021;55082;46953;0.1731
Вологодская область;2022;70644;61602;0.1468
Вологодская область;2023;80582;68524;0.1760
Вологодская область;2024;87458;86923;0.0062
Вологодская область;2025;96741;88407;0.0943
Вологодская область;2026;111943;107063;0.0456
Калининградская область;2021;71463;67483;0.0590
Калининградская область;2022;89073;105080;-0.1523
Калининградская область;2023;95793;95762;0.0003
Калининградская область;2024;116097;109201;0.0631
Калининградская область;2025;133720;129451;0.0330
Калининградская область;2026;152881;150886;0.0132
Ленинградская область;2021;103384;60975;0.6955
Ленинградская область;2022;158462;64618;1.4523
Ленинградская область;2023;158446;120416;0.3158
Ленинградская область;2024;146776;109689;0.3381
Ленинградская область;2025;168523;136515;0.2345
Ленинградская область;2026;182500;149422;0.2214
Мурманская область;2025;147078;86045;0.7093
Мурманская область;2026;152269;86300;0.7644
Новгородская область;2021;51138;44575;0.1472
Новгородская область;2022;59957;54671;0.0967
Новгородская область;2023;68691;65395;0.0504
Новгородская область;2024;87068;79863;0.0902
Новгородская область;2025;96793;83825;0.1547
Новгородская область;2026;119283;93890;0.2705
Псковская область;2021;44363;45655;-0.0283
Псковская область;2022;58739;60639;-0.0313
Псковская область;2023;63470;72573;-0.1254
Псковская область;2024;72480;85286;-0.1502
Псковская область;2025;82131;87982;-0.0665
Псковская область;2026;87709;91738;-0.0439
Город Санкт-Петербург;2021;159390;147665;0.0794
Город Санкт-Петербург;2022;213848;163581;0.3073
Город Санкт-Петербург;2023;211100;171686;0.2296
Город Санкт-Петербург;2024;259227;196109;0.3219
Город Санкт-Петербург;2025;276733;268217;0.0318
Город Санкт-Петербург;2026;303763;246318;0.2332
Республика Адыгея;2021;57812;53638;0.0778
Республика Адыгея;2022;93624;86044;0.0881
Республика Адыгея;2023;96567;80250;0.2033
Республика Адыгея;2024;107328;90665;0.1838
Республика Адыгея;2025;135430;95605;0.4166
Республика Адыгея;2026;147248;102751;0.4331
Республика Калмыкия;2021;40051;43813;-0.0859
Республика Калмыкия;2022;50255;54373;-0.0757
Республика Калмыкия;2023;58875;63949;-0.0793
Республика Калмыкия;2024;67639;77212;-0.1240
Республика Калмыкия;2025;80512;89142;-0.0968
Республика Калмыкия;2026;89793;95848;-0.0632
Республика Крым;2021;77044;73764;0.0445
Республика Крым;2022;99716;105832;-0.0578
Республика Крым;2023;115936;122788;-0.0558
Республика Крым;2024;148916;136715;0.0892
Республика Крым;2025;157037;150045;0.0466
Республика Крым;2026;196903;174816;0.1263
Краснодарский край;2021;68879;70197;-0.0188
Краснодарский край;2022;111696;195770;-0.4295
Краснодарский край;2023;127869;180263;-0.2907
Краснодарский край;2024;148400;177394;-0.1634
Краснодарский край;2025;152563;183573;-0.1689
Краснодарский край;2026;153090;169546;-0.0971
Астраханская область;2021;67721;47596;0.4228
Астраханская область;2022;95178;59872;0.5897
Астраханская область;2023;105890;66698;0.5876
Астраханская область;2024;124357;74796;0.6626
Астраханская область;2025;152586;84248;0.8112
Астраханская область;2026;163673;83353;0.9636
Волгоградская область;2021;52892;45803;0.1548
Волгоградская область;2022;70989;59584;0.1914
Волгоградская область;2023;81114;66765;0.2149
Волгоградская область;2024;103740;78316;0.3246
Волгоградская область;2025;116949;86980;0.3446
Волгоградская область;2026;133197;91883;0.4496
Ростовская область;2021;60850;57181;0.0642
Ростовская область;2022;88221;69816;0.2636
Ростовская область;2023;102053;85714;0.1906
Ростовская область;2024;121371;94900;0.2789
Ростовская область;2025;135856;105465;0.2882
Ростовская область;2026;137160;112184;0.2226
Город Севастополь;2021;88367;88244;0.0014
Город Севастополь;2022;132078;111051;0.1893
Город Севастополь;2023;108104;131470;-0.1777
Город Севастополь;2024;157822;152329;0.0361
Город Севастополь;2025;179353;168429;0.0649
Город Севастополь;2026;201043;168944;0.1900
Республика Дагестан;2021;33647;52474;-0.3588
Республика Дагестан;2022;41791;65060;-0.3577
Республика Дагестан;2023;63268;79298;-0.2021
Республика Дагестан;2024;80191;89640;-0.1054
Республика Дагестан;2025;125861;102636;0.2263
Республика Дагестан;2026;101537;99067;0.0249
Республика Ингушетия;2021;41263;35262;0.1702
Республика Ингушетия;2022;47543;45629;0.0419
Республика Ингушетия;2023;47469;45621;0.0405
Республика Ингушетия;2024;54957;56652;-0.0299
Республика Ингушетия;2025;57487;59758;-0.0380
Республика Ингушетия;2026;60767;62311;-0.0248
Кабардино-Балкарская Республика;2021;31783;55834;-0.4308
Кабардино-Балкарская Республика;2022;36861;57946;-0.3639
Кабардино-Балкарская Республика;2023;31485;56289;-0.4407
Кабардино-Балкарская Республика;2024;66846;56661;0.1798
Кабардино-Балкарская Республика;2025;67091;68785;-0.0246
Кабардино-Балкарская Республика;2026;88588;80304;0.1032
Карачаево-Черкесская Республика;2021;42049;48949;-0.1410
Карачаево-Черкесская Республика;2022;47345;65583;-0.2781
Карачаево-Черкесская Республика;2023;32585;84749;-0.6155
Карачаево-Черкесская Республика;2024;64635;90536;-0.2861
Карачаево-Черкесская Республика;2025;77825;99526;-0.2180
Карачаево-Черкесская Республика;2026;81534;94308;-0.1354
Республика Северная Осетия-Алания;2021;40797;49157;-0.1701
Республика Северная Осетия-Алания;2022;49798;49868;-0.0014
Республика Северная Осетия-Алания;2023;61169;64320;-0.0490
Республика Северная Осетия-Алания;2024;70268;83318;-0.1566
Республика Северная Осетия-Алания;2025;82575;81692;0.0108
Республика Северная Осетия-Алания;2026;111837;85583;0.3068
Чеченская Республика;2021;47954;52746;-0.0909
Чеченская Республика;2022;54624;61317;-0.1092
Чеченская Республика;2023;57607;67787;-0.1502
Чеченская Республика;2024;74869;73212;0.0226
Чеченская Республика;2025;90847;88370;0.0280
Чеченская Республика;2026;89665;94673;-0.0529
Ставропольский край;2021;44226;45403;-0.0259
Ставропольский край;2022;55127;57960;-0.0489
Ставропольский край;2023;84763;73964;0.1460
Ставропольский край;2024;96948;85950;0.1280
Ставропольский край;2025;105640;95118;0.1106
Ставропольский край;2026;120320;108339;0.1106
Республика Башкортостан;2021;72766;64173;0.1339
Республика Башкортостан;2022;97294;79860;0.2183
Республика Башкортостан;2023;111518;89844;0.2412
Республика Башкортостан;2024;129234;100226;0.2894
Республика Башкортостан;2025;141467;105002;0.3473
Республика Башкортостан;2026;149687;110005;0.3607
Республика Марий Эл;2021;47588;41400;0.1495
Республика Марий Эл;2022;55920;55290;0.0114
Республика Марий Эл;2023;66812;64146;0.0416
Республика Марий Эл;2024;89906;74412;0.2082
Республика Марий Эл;2025;107582;85891;0.2525
Республика Марий Эл;2026;116339;93922;0.2387
Республика Мордовия;2021;45670;44781;0.0199
Республика Мордовия;2022;63660;63938;-0.0043
Республика Мордовия;2023;71233;68999;0.0324
Республика Мордовия;2024;90762;75905;0.1957
Республика Мордовия;2025;103525;87936;0.1773
Республика Мордовия;2026;114623;101219;0.1324
Республика Татарстан;2021;91186;89513;0.0187
Республика Татарстан;2022;117790;119810;-0.0169
Республика Татарстан;2023;128512;134345;-0.0434
Республика Татарстан;2024;165339;135070;0.2241
Республика Татарстан;2025;193046;154099;0.2527
Республика Татарстан;2026;203520;177654;0.1456
Удмуртская Республика;2021;61941;55998;0.1061
Удмуртская Республика;2022;72385;64122;0.1289
Удмуртская Республика;2023;87030;77262;0.1264
Удмуртская Республика;2024;100341;86535;0.1595
Удмуртская Республика;2025;115394;89336;0.2917
Удмуртская Республика;2026;135924;106253;0.2792
Чувашская Республика;2021;56246;48605;0.1572
Чувашская Республика;2022;71158;67924;0.0476
Чувашская Республика;2023;85799;88073;-0.0258
Чувашская Республика;2024;108654;98103;0.1076
Чувашская Республика;2025;122081;96961;0.2591
Чувашская Республика;2026;122738;111943;0.0964
Пермский край;2021;67893;62636;0.0839
Пермский край;2022;90228;82130;0.0986
Пермский край;2023;102424;89149;0.1489
Пермский край;2024;126646;100322;0.2624
Пермский край;2025;143557;126080;0.1386
Пермский край;2026;159275;135100;0.1789
Кировская область;2021;54226;47579;0.1397
Кировская область;2022;75840;62027;0.2227
Кировская область;2023;89784;69819;0.2860
Кировская область;2024;109404;79586;0.3747
Кировская область;2025;120262;87762;0.3703
Кировская область;2026;132856;98837;0.3442
Нижегородская область;2021;85536;81469;0.0499
Нижегородская область;2022;110695;99008;0.1180
Нижегородская область;2023;124824;108602;0.1494
Нижегородская область;2024;151798;129212;0.1748
Нижегородская область;2025;166080;138810;0.1965
Нижегородская область;2026;184500;163438;0.1289
Оренбургская область;2021;42215;39578;0.0666
Оренбургская область;2022;57288;41159;0.3919
Оренбургская область;2023;63790;62829;0.0153
Оренбургская область;2024;76173;73101;0.0420
Оренбургская область;2025;90449;79873;0.1324
Оренбургская область;2026;105804;90965;0.1631
Пензенская область;2021;57223;46034;0.2431
Пензенская область;2022;79466;57524;0.3814
Пензенская область;2023;88337;59598;0.4822
Пензенская область;2024;96011;74313;0.2920
Пензенская область;2025;99027;87624;0.1301
Пензенская область;2026;107448;93437;0.1500
Самарская область;2021;57896;52482;0.1032
Самарская область;2022;91291;73816;0.2367
Самарская область;2023;97826;82435;0.1867
Самарская область;2024;119521;104217;0.1468
Самарская область;2025;133449;111604;0.1957
Самарская область;2026;141097;121543;0.1609
Саратовская область;2021;45420;44920;0.0111
Саратовская область;2022;65116;63759;0.0213
Саратовская область;2023;73188;69429;0.0541
Саратовская область;2024;88229;83216;0.0602
Саратовская область;2025;94838;87336;0.0859
Саратовская область;2026;108267;91065;0.1889
Ульяновская область;2021;55679;49163;0.1325
Ульяновская область;2022;73427;57992;0.2662
Ульяновская область;2023;83419;74205;0.1242
Ульяновская область;2024;97490;87262;0.1172
Ульяновская область;2025;108939;88735;0.2277
Ульяновская область;2026;123101;97582;0.2615
Курганская область;2021;44445;41602;0.0683
Курганская область;2022;56898;50890;0.1181
Курганская область;2023;61741;56075;0.1010
Курганская область;2024;87444;67401;0.2974
Курганская область;2025;101580;77283;0.3144
Курганская область;2026;113186;83510;0.3554
Свердловская область;2021;82027;73356;0.1182
Свердловская область;2022;103396;90318;0.1448
Свердловская область;2023;116497;90273;0.2905
Свердловская область;2024;137818;95881;0.4374
Свердловская область;2025;151553;105196;0.4407
Свердловская область;2026;158848;107674;0.4753
Тюменская область;2021;72887;66287;0.0996
Тюменская область;2022;90772;93421;-0.0284
Тюменская область;2023;105477;104179;0.0125
Тюменская область;2024;127593;110015;0.1598
Тюменская область;2025;136632;119236;0.1459
Тюменская область;2026;137242;128158;0.0709
Ханты-Мансийский автономный округ — Югра;2021;70112;76631;-0.0851
Ханты-Мансийский автономный округ — Югра;2022;85657;94940;-0.0978
Ханты-Мансийский автономный округ — Югра;2023;103830;101184;0.0262
Ханты-Мансийский автономный округ — Югра;2024;125902;102875;0.2238
Ханты-Мансийский автономный округ — Югра;2025;130276;105673;0.2328
Ханты-Мансийский автономный округ — Югра;2026;128021;108875;0.1759
Ямало-Ненецкий автономный округ;2021;108309;48520;1.2323
Ямало-Ненецкий автономный округ;2022;105738;89144;0.1861
Ямало-Ненецкий автономный округ;2023;132154;118812;0.1123
Ямало-Ненецкий автономный округ;2024;178180;137248;0.2982
Ямало-Ненецкий автономный округ;2025;181629;153981;0.1796
Ямало-Ненецкий автономный округ;2026;193556;162075;0.1942
Челябинская область;2021;50188;39624;0.2666
Челябинская область;2022;69294;69896;-0.0086
Челябинская область;2023;86078;60432;0.4244
Челябинская область;2024;113701;76528;0.4857
Челябинская область;2025;124091;83541;0.4854
Челябинская область;2026;144571;98460;0.4683
Республика Алтай;2022;111405;95329;0.1686
Республика Алтай;2023;104822;112257;-0.0662
Республика Алтай;2024;157731;136809;0.1529
Республика Алтай;2025;168381;156222;0.0778
Республика Алтай;2026;227853;181421;0.2559
Республика Тыва;2022;107149;100070;0.0707
Республика Тыва;2023;113907;116658;-0.0236
Республика Тыва;2024;130146;131145;-0.0076
Республика Тыва;2025;139371;130146;0.0709
Республика Тыва;2026;143502;139768;0.0267
Республика Хакасия;2021;57427;52218;0.0998
Республика Хакасия;2022;78173;68837;0.1356
Республика Хакасия;2023;84918;78396;0.0832
Республика Хакасия;2024;106732;97159;0.0985
Республика Хакасия;2025;116402;102728;0.1331
Республика Хакасия;2026;118196;95523;0.2374
Алтайский край;2021;58308;58476;-0.0029
Алтайский край;2022;79912;75898;0.0529
Алтайский край;2023;93066;83162;0.1191
Алтайский край;2024;115791;90910;0.2737
Алтайский край;2025;133876;97245;0.3767
Алтайский край;2026;142284;97192;0.4639
Красноярский край;2021;71279;63006;0.1313
Красноярский край;2022;92484;71191;0.2991
Красноярский край;2023;101917;81050;0.2575
Красноярский край;2024;127160;95162;0.3362
Красноярский край;2025;134168;99622;0.3468
Красноярский край;2026;145997;103301;0.4133
Иркутская область;2021;84646;64087;0.3208
