year;centre;gap_pct;median_centres_pct;rank;centres_n;gap_to_median
2021;Магаданская область;57.74;4.91;1;72;11.76
2021;Астраханская область;42.28;4.91;2;72;8.61
2021;Пензенская область;36.39;4.91;3;72;7.41
2021;Челябинская область;30.96;4.91;4;72;6.31
2021;Смоленская область;26.76;4.91;5;72;5.45
2021;Республика Саха (Якутия);25.2;4.91;6;72;5.13
2021;Архангельская область (кроме Ненецкого автономного округа);21.71;4.91;7;72;4.42
2021;Брянская область;19.95;4.91;8;72;4.06
2021;Воронежская область;19.51;4.91;9;72;3.98
2021;Республика Ингушетия;17.02;4.91;10;72;3.47
2021;Чувашская Республика - Чувашия;16.94;4.91;11;72;3.45
2021;Хабаровский край;16.27;4.91;12;72;3.32
2021;Новгородская область;15.27;4.91;13;72;3.11
2021;Вологодская область;14.69;4.91;14;72;2.99
2021;Ульяновская область;13.25;4.91;15;72;2.7
2021;Республика Марий Эл;13.22;4.91;16;72;2.69
2021;Рязанская область;12.91;4.91;17;72;2.63
2021;Удмуртская Республика;12.01;4.91;18;72;2.45
2021;Свердловская область;11.74;4.91;19;72;2.39
2021;Кировская область;11.44;4.91;20;72;2.33
2021;Костромская область;10.99;4.91;21;72;2.24
2021;Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);10.75;4.91;22;72;2.19
2021;Краснодарский край;9.99;4.91;23;72;2.04
2021;Республика Хакасия;9.59;4.91;24;72;1.95
2021;Республика Татарстан (Татарстан);8.32;4.91;25;72;1.69
2021;Волгоградская область;8.31;4.91;26;72;1.69
2021;Республика Крым;7.79;4.91;27;72;1.59
2021;Кемеровская область - Кузбасс;7.65;4.91;28;72;1.56
2021;Новосибирская область;7.46;4.91;29;72;1.52
2021;Забайкальский край;7.18;4.91;30;72;1.46
2021;Курганская область;6.83;4.91;31;72;1.39
2021;Томская область;6.33;4.91;32;72;1.29
2021;Курская область;5.8;4.91;33;72;1.18
2021;Республика Башкортостан;5.31;4.91;34;72;1.08
2021;Ивановская область;5.16;4.91;35;72;1.05
2021;Омская область;5.14;4.91;36;72;1.05
2021;Нижегородская область;4.68;4.91;37;72;0.95
2021;Орловская область;3.85;4.91;38;72;0.78
2021;Республика Коми;3.42;4.91;39;72;0.7
2021;Пермский край;2.6;4.91;40;72;0.53
2021;Тамбовская область;1.9;4.91;41;72;0.39
2021;Белгородская область;1.67;4.91;42;72;0.34
2021;Республика Мордовия;1.65;4.91;43;72;0.34
2021;Иркутская область;0.86;4.91;44;72;0.17
2021;Красноярский край;0.84;4.91;45;72;0.17
2021;Псковская область;0.36;4.91;46;72;0.07
2021;Алтайский край;-0.31;4.91;47;72;-0.06
2021;Ростовская область;-1.45;4.91;48;72;-0.29
2021;Самарская область;-1.58;4.91;49;72;-0.32
2021;Саратовская область;-1.82;4.91;50;72;-0.37
2021;Республика Карелия;-2.76;4.91;51;72;-0.56
2021;Приморский край;-3.01;4.91;52;72;-0.61
2021;Амурская область;-3.19;4.91;53;72;-0.65
2021;Оренбургская область;-3.39;4.91;54;72;-0.69
2021;Чеченская Республика;-3.74;4.91;55;72;-0.76
2021;Калининградская область;-4.02;4.91;56;72;-0.82
2021;Калужская область;-4.05;4.91;57;72;-0.83
2021;Республика Бурятия;-4.73;4.91;58;72;-0.96
2021;Липецкая область;-7.13;4.91;59;72;-1.45
2021;Тульская область;-8.31;4.91;60;72;-1.69
2021;Республика Калмыкия;-8.59;4.91;61;72;-1.75
2021;Сахалинская область;-9.09;4.91;62;72;-1.85
2021;Тверская область;-10.72;4.91;63;72;-2.18
2021;Ставропольский край;-11.31;4.91;64;72;-2.3
2021;Ханты-Мансийский автономный округ - Югра (Тюменская область);-11.85;4.91;65;72;-2.41
2021;Карачаево-Черкесская Республика;-13.45;4.91;66;72;-2.74
2021;Камчатский край;-16.16;4.91;67;72;-3.29
2021;Владимирская область;-16.76;4.91;68;72;-3.41
2021;Ярославская область;-18.96;4.91;69;72;-3.86
2021;Республика Адыгея (Адыгея);-25.87;4.91;70;72;-5.27
2021;Республика Дагестан;-37.67;4.91;71;72;-7.67
2021;Кабардино-Балкарская Республика;-38.55;4.91;72;72;-7.85
2022;Магаданская область;77.43;8.02;1;75;9.65
2022;Астраханская область;58.97;8.02;2;75;7.35
2022;Пензенская область;43.24;8.02;3;75;5.39
2022;Смоленская область;31.08;8.02;4;75;3.87
2022;Архангельская область (кроме Ненецкого автономного округа);29.26;8.02;5;75;3.65
2022;Ульяновская область;26.62;8.02;6;75;3.32
2022;Самарская область;24.55;8.02;7;75;3.06
2022;Брянская область;22.39;8.02;8;75;2.79
2022;Республика Карелия;20.85;8.02;9;75;2.6
2022;Оренбургская область;20.74;8.02;10;75;2.59
2022;Забайкальский край;19.74;8.02;11;75;2.46
2022;Кировская область;19.27;8.02;12;75;2.4
2022;Ростовская область;18.55;8.02;13;75;2.31
2022;Ярославская область;17.69;8.02;14;75;2.2
2022;Новосибирская область;17.59;8.02;15;75;2.19
2022;Республика Алтай;16.86;8.02;16;75;2.1
2022;Рязанская область;16.82;8.02;17;75;2.1
2022;Республика Крым;16.15;8.02;18;75;2.01
2022;Республика Хакасия;15.77;8.02;19;75;1.97
2022;Удмуртская Республика;15.47;8.02;20;75;1.93
2022;Свердловская область;15.26;8.02;21;75;1.9
2022;Волгоградская область;13.44;8.02;22;75;1.68
2022;Вологодская область;13.41;8.02;23;75;1.67
2022;Красноярский край;13.18;8.02;24;75;1.64
2022;Республика Саха (Якутия);12.88;8.02;25;75;1.6
2022;Республика Башкортостан;12.67;8.02;26;75;1.58
2022;Республика Татарстан (Татарстан);12.12;8.02;27;75;1.51
2022;Воронежская область;11.9;8.02;28;75;1.48
2022;Курганская область;11.81;8.02;29;75;1.47
2022;Иркутская область;10.52;8.02;30;75;1.31
2022;Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);10.5;8.02;31;75;1.31
2022;Нижегородская область;10.45;8.02;32;75;1.3
2022;Чувашская Республика - Чувашия;10.38;8.02;33;75;1.29
2022;Белгородская область;10.04;8.02;34;75;1.25
2022;Новгородская область;9.14;8.02;35;75;1.14
2022;Омская область;8.6;8.02;36;75;1.07
2022;Пермский край;8.46;8.02;37;75;1.05
2022;Кемеровская область - Кузбасс;8.02;8.02;38;75;1.0
2022;Курская область;7.73;8.02;39;75;0.96
2022;Костромская область;7.66;8.02;40;75;0.96
2022;Краснодарский край;7.29;8.02;41;75;0.91
2022;Республика Тыва;7.07;8.02;42;75;0.88
2022;Приморский край;6.88;8.02;43;75;0.86
2022;Липецкая область;5.94;8.02;44;75;0.74
2022;Хабаровский край;5.32;8.02;45;75;0.66
2022;Томская область;5.12;8.02;46;75;0.64
2022;Амурская область;4.35;8.02;47;75;0.54
2022;Ивановская область;4.28;8.02;48;75;0.53
2022;Республика Ингушетия;3.06;8.02;49;75;0.38
2022;Республика Коми;2.7;8.02;50;75;0.34
2022;Республика Марий Эл;1.68;8.02;51;75;0.21
2022;Алтайский край;1.66;8.02;52;75;0.21
2022;Тульская область;1.21;8.02;53;75;0.15
